Años;FECHA;Provincia;Idprovincia;Promedio de TMEDIA;Promedio de TMIN;Promedio de TMAX
2000;ene;a coruña;15;9,6;6,6;12,6
2000;feb;a coruña;15;12,2;9,7;14,7
2000;mar;a coruña;15;12,6;8,9;16,2
2000;abr;a coruña;15;12;9,2;14,8
2000;may;a coruña;15;15,8;13;18,6
2000;jun;a coruña;15;18,7;15,2;22,1
2000;jul;a coruña;15;19;16;21,9
2000;ago;a coruña;15;19,6;16,4;22,8
2000;sep;a coruña;15;18,5;15,4;21,7
2000;oct;a coruña;15;14,9;12,2;17,7
2000;nov;a coruña;15;12,7;10,2;15,2
2000;dic;a coruña;15;12,7;10,3;15,1
2001;ene;a coruña;15;11,2;9;13,4
2001;feb;a coruña;15;11,6;8,4;14,9
2001;mar;a coruña;15;13,4;10,8;15,9
2001;abr;a coruña;15;12,8;9,8;15,7
2001;may;a coruña;15;14,7;11,6;17,8
2001;jun;a coruña;15;17,5;14,4;20,7
2001;jul;a coruña;15;18,9;15,9;21,8
2001;ago;a coruña;15;19,7;16,5;22,8
2001;sep;a coruña;15;18,1;14,7;21,4
2001;oct;a coruña;15;17,4;14,2;20,6
2001;nov;a coruña;15;12,1;9,4;14,9
2001;dic;a coruña;15;9,7;6,6;12,9
2002;ene;a coruña;15;12,4;9,7;15
2002;feb;a coruña;15;12,1;9,6;14,7
2002;mar;a coruña;15;12,8;9,3;16,2
2002;abr;a coruña;15;12,6;9,3;15,8
2002;may;a coruña;15;14,5;11,4;17,6
2002;jun;a coruña;15;16,2;13,4;19
2002;jul;a coruña;15;17,7;14,7;20,7
2002;ago;a coruña;15;19;16,1;21,9
2002;sep;a coruña;15;19,3;15,5;23,2
2002;oct;a coruña;15;17,1;13,7;20,4
2002;nov;a coruña;15;13,3;10,8;15,8
2002;dic;a coruña;15;13;10,8;15,2
2003;ene;a coruña;15;10;7,3;12,8
2003;feb;a coruña;15;10,7;7,8;13,5
2003;mar;a coruña;15;13,7;10,1;17,4
2003;abr;a coruña;15;14,2;10,8;17,7
2003;may;a coruña;15;15,2;11,9;18,6
2003;jun;a coruña;15;18,6;15,2;22
2003;jul;a coruña;15;19;15,9;22,2
2003;ago;a coruña;15;21,5;18,1;25
2003;sep;a coruña;15;19,7;15,9;23,4
2003;oct;a coruña;15;15;12,2;17,8
2003;nov;a coruña;15;13,7;10,9;16,6
2003;dic;a coruña;15;11,7;9,2;14,1
2004;ene;a coruña;15;12,1;9,6;14,5
2004;feb;a coruña;15;11,1;7,7;14,5
2004;mar;a coruña;15;11,7;8,8;14,7
2004;abr;a coruña;15;12,5;9,5;15,5
2004;may;a coruña;15;15,2;11,9;18,5
2004;jun;a coruña;15;19,1;15,7;22,6
2004;jul;a coruña;15;19,4;16,3;22,4
2004;ago;a coruña;15;20,3;17,3;23,3
2004;sep;a coruña;15;19,2;15,8;22,5
2004;oct;a coruña;15;15,6;12,8;18,5
2004;nov;a coruña;15;12,5;9,5;15,4
2004;dic;a coruña;15;11,1;8,6;13,6
2005;ene;a coruña;15;11,5;9,1;13,7
2005;feb;a coruña;15;8,9;6,1;11,8
2005;mar;a coruña;15;13;9,3;16,7
2005;abr;a coruña;15;13,6;10,6;16,7
2005;may;a coruña;15;15,5;12,2;18,8
2005;jun;a coruña;15;19,1;15,5;22,8
2005;jul;a coruña;15;20,5;16,8;24,3
2005;ago;a coruña;15;19,7;16,3;23,1
2005;sep;a coruña;15;18,5;14,8;22,3
2005;oct;a coruña;15;17,2;13,9;20,5
2005;nov;a coruña;15;13;10,3;15,6
2005;dic;a coruña;15;10,7;7,8;13,5
2006;ene;a coruña;15;9,9;6,9;12,8
2006;feb;a coruña;15;9,5;5,9;13,1
2006;mar;a coruña;15;13,1;10,3;15,9
2006;abr;a coruña;15;14;10,8;17,2
2006;may;a coruña;15;16,2;12,5;19,8
2006;jun;a coruña;15;18,7;15,2;22,3
2006;jul;a coruña;15;21;17,6;24,5
2006;ago;a coruña;15;20,2;16,9;23,5
2006;sep;a coruña;15;20,2;16,7;23,6
2006;oct;a coruña;15;18,1;14,9;21,4
2006;nov;a coruña;15;15,4;12,5;18,3
2006;dic;a coruña;15;11,7;8,6;14,7
2007;ene;a coruña;15;11,4;9,1;13,7
2007;feb;a coruña;15;12,4;9,6;15,2
2007;mar;a coruña;15;12,6;9,9;15,3
2007;abr;a coruña;15;13,9;10,6;17,3
2007;may;a coruña;15;15,2;12,5;17,9
2007;jun;a coruña;15;17,9;14,6;21,2
2007;jul;a coruña;15;19,2;16,1;22,4
2007;ago;a coruña;15;19,6;16,4;22,9
2007;sep;a coruña;15;18,5;14,4;22,7
2007;oct;a coruña;15;16,1;12,7;19,5
2007;nov;a coruña;15;12,7;9;16,5
2007;dic;a coruña;15;11,4;8,1;14,7
2008;ene;a coruña;15;12,1;9,3;14,9
2008;feb;a coruña;15;14,1;10,2;17,9
2008;mar;a coruña;15;12;9,1;14,8
2008;abr;a coruña;15;13,8;10,2;17,3
