id_in,hectareas,personal,medios,causa,idmunicipio
2001010001,3.7,10,2,3,13
2001010004,1.5,4,1,2,41
2001010005,1.5,4,1,2,33
2001010008,7.5,6,1,3,13
2001010017,1.04,11,2,4,10
2001010018,1.25,12,1,2,43
2001010020,11.84,26,6,4,60
2001010021,4.65,38,4,3,31
2001010024,3.9,14,3,2,43
2001010026,1.48,28,2,3,63
2001010027,4.13,32,5,3,2
2001010029,7.9,26,2,3,2
2001010030,16.61,55,9,3,2
2001010031,191.65,128,19,2,55
2001010033,5.1,9,1,2,31
2001010034,3.0,7,2,3,43
2001010035,1.57,30,5,2,901
2001010036,1.03,12,3,2,46
2001010037,1.4,9,3,2,902
2001010039,2.37,20,3,2,6
2001010041,1.5,10,1,4,3
2001010044,1.2,6,1,3,22
2002010001,3.5,9,2,3,13
2002010005,4.0,6,1,3,2
2002010006,3.65,6,1,3,61
2002010007,11.3,18,5,3,13
2002010008,56.92,18,5,3,13
2002010010,4.8,1,0,2,31
2002010012,1.68,7,1,3,23
2002010016,1.0,6,0,3,28
2002010017,8.7,10,1,3,32
2002010019,3.5,8,1,3,23
2002010022,3.5,37,4,3,31
2002010023,3.7,12,2,3,61
2002010025,1.38,6,1,3,23
2002010028,7.8,8,2,3,13
2002010029,17.9,8,2,3,13
2002010032,1.0,10,1,3,9
2002010033,97.1,15,2,2,13
2002010034,3.98,2,1,3,43
2002010037,1.34,5,1,3,42
2002010039,5.0,20,4,3,36
2002010043,1.0,7,2,2,10
2002010045,4.0,7,1,1,41
2002010047,27.83,55,11,4,47
2002010048,1.4,3,1,3,31
2002010052,3.1,25,4,2,49
2003010004,14.2,21,4,3,2
2003010005,18.5,43,4,3,31
2003010007,1.75,9,2,3,13
2003010008,12.87,13,5,3,43
2003010009,2.6,5,1,3,28
2003010015,1.0,1,0,4,41
2003010016,4.9,26,3,3,23
2003010017,1.4,17,3,2,53
2003010022,76.03,54,11,2,999
2003010023,12.54,31,6,2,36
2003010024,1.45,21,2,4,37
2003010025,14.1,12,4,1,55
2003010028,8.4,122,15,2,9
2003010029,5.9,13,5,2,59
2003010033,5.74,6,2,3,2
2003010034,15.33,45,10,3,2
2003010035,7.78,42,4,3,2
2003010036,5.23,18,5,3,1
2003010039,1.0,8,2,3,59
2004010010,4.02,6,1,4,31
2004010015,2.41,12,2,2,28
2004010018,5.4,35,3,2,32
2004010021,1.2,22,1,2,57
2004010022,1.5,22,2,1,14
2004010027,1.12,7,1,2,22
2004010029,1.5,9,1,3,39
2004010036,1.0,22,4,3,39
2004010037,3.66,42,8,2,2
2004010038,3.11,11,3,3,18
2004010041,3.5,6,1,4,31
2005010002,2.1,2,1,3,31
2005010003,4.75,2,1,3,31
2005010004,2.1,3,1,3,31
2005010005,3.62,12,1,4,59
2005010008,1.2,3,0,3,23
2005010009,2.7,8,2,3,59
