idmunicipio,municipio,lat,lng,idprovincia
1,alegría-dulantzi,42.84748,-2.498224,1
2,amurrio,43.010649,-2.926375,1
3,aramaio,48.212781,-3.3203739999999997,1
4,artziniega,43.103356,-3.1253509999999998,1
5,alcázar de san juan,39.28598144,-3.2382014,13
6,armiñón,42.731456,-2.890059,1
7,arbatzegi gerrikaitz/munitibar,43.26074372,-2.59538159,48
8,arrazua-ubarrundia,42.933448999999996,-2.6053740000000003,1
9,asparrena,42.85515,-2.253364,1
10,aiara/ayala,43.091715,-3.0245740000000003,1
11,antzuola,43.09981924,-2.37355299,20
12,bakio,43.42248666,-2.81226146,48
13,barrundia,42.954656,-2.325719,1
14,berantevilla,42.668304,-2.804748,1
15,ataun,42.97562979999999,-2.16091055,20
16,aia,43.24550667,-2.14892567,20
17,kanpezu/campezo,42.679421999999995,-2.402863,1
18,zigoitia,42.9924,-2.754657,1
19,beasain,43.054401,-2.229548,20
20,kuartango,42.839343,-2.891826,1
21,busturia,43.37330948,-2.71826809,48
22,elciego,42.523757,-2.622573,1
23,bilar/elvillar,42.568371,-2.512651,1
24,zeanuri,43.06937397,-2.74572757,48
25,zegama,42.96689583,-2.29451361,20
26,zerain,43.020161,-2.303452,20
27,zestoa,43.23832227,-2.24125023,20
28,labastida,42.596278999999996,-2.8171619999999997,1
29,deba,43.26519107,-2.31830946,20
30,eibar,43.190369,-2.487043,20
31,laguardia,42.586579,-2.561258,1
32,lantziego/lanciego,42.559416999999996,-2.524902,1
33,lapuebla de labarca,48.302507,-3.3977980000000003,1
34,eskoriatza,43.00134044,-2.53162102,20
35,"gineta, la",39.100177,-1.9703419999999998,2
36,llodio/laudio,45.333147,-3.287146,1
37,arraia-maeztu,42.757085,-2.42563,1
38,gamiz-fika,43.31469994,-2.81057119,48
39,moreda de alava,42.522888,-2.415605,1
40,hernani,43.23801553,-1.94184651,20
41,navaridas,42.552183,-2.640673,1
42,okondo,43.181765999999996,-2.987695,1
43,oion-oyón,42.514063,-2.452207,1
44,urizaharra-peñacerrada,42.669618,-2.670737,1
45,irun,43.32080139999999,-1.78236478,20
46,erriberagoitia/ribera alta,42.758493,-2.914454,1
47,erribera beitia/ribera baja,42.749455,-2.8778080000000004,1
48,larraul,43.179029,-2.142356,20
49,añana,42.794540999999995,-2.963316,1
50,izurtza,43.15087728,-2.64723319,48
51,agurain/salvatierra,42.864863,-2.394505,1
52,larrabetzu,43.26935485,-2.78150722,48
53,donemiliaga/san millán,42.910168,-2.424211,1
54,leioa,43.33052377,-2.98487728,48
55,valdegovia,42.830563,-3.036705,1
56,harana/valle de arana,42.742934999999996,-2.265989,1
57,eskuernaga/villabuena de álava,42.541883,-2.659,1
58,mallabia,43.20775591,-2.5372831000000002,48
59,vitoria-gasteiz,42.812046,-2.6575189999999997,1
60,iecora/yécora,42.586275,-2.488137,1
61,zalduondo,42.918638,-2.3261119999999997,1
62,zambrana,42.659423,-2.902388,1
63,zuia,43.001626,-2.9018479999999998,1
64,pasaia,43.3399635,-1.89597356,20
65,soraluze/plasencia de armas,43.17907063,-2.40906603,20
66,errezil,43.17741443,-2.18369587,20
67,errenteria,43.26585778,-1.88682803,20
68,leintz-gatzaga,42.97769374,-2.5636875,20
69,donostia-san sebastián,43.29605896,-1.98760028,20
70,segura,43.000171,-2.27189,20
71,tolosa,43.10729474,-2.08050748,20
72,urnieta,43.22845859,-1.97012535,20
73,usurbil,43.279841999999995,-2.056074,20
74,bergara,43.12603876,-2.42806664,20
75,villabona,43.18170552,-2.02977817,20
76,ordizia,43.06077726,-2.18027133,20
77,santa cruz de mudela,38.64109874,-3.5028511,13
78,zaldibia,42.998212,-2.1105490000000002,20
79,zarautz,43.27617414,-2.16820435,20
80,trapagaran-valle de trápaga,43.29134904,-3.03619232,48
81,zumaia,43.2877736,-2.24365576,20
82,santurtzi,43.33294658,-3.0464307999999996,48
83,ortuella,43.30412715,-3.05695073,48
84,villaverde de guadalimar,38.44042,-2.545788,2
85,sopelana,43.38031765,-2.97772945,48
86,sopuerta,43.26186967,-3.17240963,48
87,turtzioz-trucios,43.28508521,-3.27330033,48
88,valenzuela de calatrava,38.83914883,-3.78548827,13
89,urduliz,43.36869005,-2.94349496,48
90,balmaseda,43.19679302,-3.20983964,48
91,villamayor de calatrava,38.7986722,-4.18307719,13
92,bedia,43.20016927,-2.81600938,48
93,areatza,43.10350036,-2.78884479,48
94,igorre,43.17497857,-2.77805446,48
95,zaldibar,43.1689825,-2.5243877,48
96,zalla,43.20625937,-3.144334,48
97,zaratamo,43.20915348,-2.86601232,48
98,viso del marqués,38.51294738,-3.58110218,13
99,"hinojosa, la",39.744240000000005,-2.401932,16
100,san mateu,40.46758384,0.17508951,12
101,miguel esteban,39.51694493,-3.10236377,45
102,honrubia,39.60847726,-2.2670682999999996,16
103,hontanaya,39.71057903,-2.82316641,16
104,hontecillas,39.69299422,-2.18608634,16
105,chiloeches,40.57258861,-3.19337807,19
106,horcajo de santiago,39.849385999999996,-2.9753700000000003,16
107,driebes,40.23931374,-3.04131154,19
108,huelves,40.035828,-2.868945,16
109,huérguina,40.031432,-1.571695,16
110,huerta de la obispalía,39.97974929,-2.47795354,16
111,huerta del marquesado,40.149803999999996,-1.68898,16
112,huete,40.1606348,-2.63540157,16
113,iniesta,39.45848066,-1.73516106,16
114,navamorcuende,40.13969998,-4.831197400000001,45
