idprovincia,provincia,idcomunidad
1,araba/álava,1
2,albacete,11
3,alicante,9
4,almería,4
5,ávila,17
6,badajoz,14
7,illes balears,15
8,barcelona,2
9,burgos,17
10,cáceres,14
11,cádiz,4
12,castellon,9
13,ciudad real,11
14,córdoba,4
15,a coruña,3
16,cuenca,11
17,girona,2
18,granada,4
19,guadalajara,11
20,gipuzkoa,1
21,huelva,4
22,huesca,10
23,jaén,4
24,león,17
25,lleida,2
26,la rioja,7
27,lugo,3
28,madrid,16
29,málaga,4
30,murcia,8
31,navarra,13
32,ourense,3
33,asturias,5
34,palencia,17
35,las palmas,12
36,pontevedra,3
37,salamanca,17
38,tenerife,12
39,cantabria,6
40,segovia,17
41,sevilla,4
42,soria,17
43,tarragona,2
44,teruel,10
45,toledo,11
46,valencia,9
47,valladolid,17
48,bizkaia,1
49,zamora,17
50,zaragoza,10
51,ceuta,18
