,años,fecha,provincia,idprovincia,tmedia,tmin,tmax
0,2000,ene,a coruña,15,9.6,6.6,12.6
1,2000,feb,a coruña,15,12.2,9.7,14.7
2,2000,mar,a coruña,15,12.6,8.9,16.2
3,2000,abr,a coruña,15,12,9.2,14.8
4,2000,may,a coruña,15,15.8,13,18.6
5,2000,jun,a coruña,15,18.7,15.2,22.1
6,2000,jul,a coruña,15,19,16,21.9
7,2000,ago,a coruña,15,19.6,16.4,22.8
8,2000,sep,a coruña,15,18.5,15.4,21.7
9,2000,oct,a coruña,15,14.9,12.2,17.7
10,2000,nov,a coruña,15,12.7,10.2,15.2
11,2000,dic,a coruña,15,12.7,10.3,15.1
12,2001,ene,a coruña,15,11.2,9,13.4
13,2001,feb,a coruña,15,11.6,8.4,14.9
14,2001,mar,a coruña,15,13.4,10.8,15.9
15,2001,abr,a coruña,15,12.8,9.8,15.7
16,2001,may,a coruña,15,14.7,11.6,17.8
17,2001,jun,a coruña,15,17.5,14.4,20.7
18,2001,jul,a coruña,15,18.9,15.9,21.8
19,2001,ago,a coruña,15,19.7,16.5,22.8
20,2001,sep,a coruña,15,18.1,14.7,21.4
21,2001,oct,a coruña,15,17.4,14.2,20.6
22,2001,nov,a coruña,15,12.1,9.4,14.9
23,2001,dic,a coruña,15,9.7,6.6,12.9
24,2002,ene,a coruña,15,12.4,9.7,15
25,2002,feb,a coruña,15,12.1,9.6,14.7
26,2002,mar,a coruña,15,12.8,9.3,16.2
27,2002,abr,a coruña,15,12.6,9.3,15.8
28,2002,may,a coruña,15,14.5,11.4,17.6
29,2002,jun,a coruña,15,16.2,13.4,19
30,2002,jul,a coruña,15,17.7,14.7,20.7
31,2002,ago,a coruña,15,19,16.1,21.9
32,2002,sep,a coruña,15,19.3,15.5,23.2
33,2002,oct,a coruña,15,17.1,13.7,20.4
34,2002,nov,a coruña,15,13.3,10.8,15.8
35,2002,dic,a coruña,15,13,10.8,15.2
36,2003,ene,a coruña,15,10,7.3,12.8
37,2003,feb,a coruña,15,10.7,7.8,13.5
38,2003,mar,a coruña,15,13.7,10.1,17.4
39,2003,abr,a coruña,15,14.2,10.8,17.7
40,2003,may,a coruña,15,15.2,11.9,18.6
41,2003,jun,a coruña,15,18.6,15.2,22
42,2003,jul,a coruña,15,19,15.9,22.2
43,2003,ago,a coruña,15,21.5,18.1,25
44,2003,sep,a coruña,15,19.7,15.9,23.4
45,2003,oct,a coruña,15,15,12.2,17.8
46,2003,nov,a coruña,15,13.7,10.9,16.6
47,2003,dic,a coruña,15,11.7,9.2,14.1
48,2004,ene,a coruña,15,12.1,9.6,14.5
49,2004,feb,a coruña,15,11.1,7.7,14.5
50,2004,mar,a coruña,15,11.7,8.8,14.7
51,2004,abr,a coruña,15,12.5,9.5,15.5
52,2004,may,a coruña,15,15.2,11.9,18.5
53,2004,jun,a coruña,15,19.1,15.7,22.6
54,2004,jul,a coruña,15,19.4,16.3,22.4
55,2004,ago,a coruña,15,20.3,17.3,23.3
56,2004,sep,a coruña,15,19.2,15.8,22.5
57,2004,oct,a coruña,15,15.6,12.8,18.5
58,2004,nov,a coruña,15,12.5,9.5,15.4
59,2004,dic,a coruña,15,11.1,8.6,13.6
60,2005,ene,a coruña,15,11.5,9.1,13.7
61,2005,feb,a coruña,15,8.9,6.1,11.8
62,2005,mar,a coruña,15,13,9.3,16.7
63,2005,abr,a coruña,15,13.6,10.6,16.7
64,2005,may,a coruña,15,15.5,12.2,18.8
65,2005,jun,a coruña,15,19.1,15.5,22.8
66,2005,jul,a coruña,15,20.5,16.8,24.3
67,2005,ago,a coruña,15,19.7,16.3,23.1
68,2005,sep,a coruña,15,18.5,14.8,22.3
69,2005,oct,a coruña,15,17.2,13.9,20.5
70,2005,nov,a coruña,15,13,10.3,15.6
71,2005,dic,a coruña,15,10.7,7.8,13.5
72,2006,ene,a coruña,15,9.9,6.9,12.8
73,2006,feb,a coruña,15,9.5,5.9,13.1
74,2006,mar,a coruña,15,13.1,10.3,15.9
75,2006,abr,a coruña,15,14,10.8,17.2
76,2006,may,a coruña,15,16.2,12.5,19.8
77,2006,jun,a coruña,15,18.7,15.2,22.3
78,2006,jul,a coruña,15,21,17.6,24.5
79,2006,ago,a coruña,15,20.2,16.9,23.5
80,2006,sep,a coruña,15,20.2,16.7,23.6
81,2006,oct,a coruña,15,18.1,14.9,21.4
82,2006,nov,a coruña,15,15.4,12.5,18.3
83,2006,dic,a coruña,15,11.7,8.6,14.7
84,2007,ene,a coruña,15,11.4,9.1,13.7
85,2007,feb,a coruña,15,12.4,9.6,15.2
86,2007,mar,a coruña,15,12.6,9.9,15.3
87,2007,abr,a coruña,15,13.9,10.6,17.3
88,2007,may,a coruña,15,15.2,12.5,17.9
89,2007,jun,a coruña,15,17.9,14.6,21.2
90,2007,jul,a coruña,15,19.2,16.1,22.4
91,2007,ago,a coruña,15,19.6,16.4,22.9
92,2007,sep,a coruña,15,18.5,14.4,22.7
93,2007,oct,a coruña,15,16.1,12.7,19.5
94,2007,nov,a coruña,15,12.7,9,16.5
95,2007,dic,a coruña,15,11.4,8.1,14.7
96,2008,ene,a coruña,15,12.1,9.3,14.9
97,2008,feb,a coruña,15,14.1,10.2,17.9
98,2008,mar,a coruña,15,12,9.1,14.8
99,2008,abr,a coruña,15,13.8,10.2,17.3
100,2008,may,a coruña,15,15.4,12.6,18.3
101,2008,jun,a coruña,15,17.8,14.9,20.6
102,2008,jul,a coruña,15,19.5,15.9,23.1
103,2008,ago,a coruña,15,20.3,17,23.6
104,2008,sep,a coruña,15,18.3,14.7,22
105,2008,oct,a coruña,15,15.6,12.1,19
106,2008,nov,a coruña,15,12.1,9.4,14.8
107,2008,dic,a coruña,15,10.9,8.2,13.7
108,2009,ene,a coruña,15,10.3,7.8,12.8
109,2009,feb,a coruña,15,10.7,7.1,14.3
110,2009,mar,a coruña,15,12.5,8.8,16.2
111,2009,abr,a coruña,15,12.4,9.2,15.7
112,2009,may,a coruña,15,15.3,12,18.6
113,2009,jun,a coruña,15,18.4,15,21.7
114,2009,jul,a coruña,15,19,15.9,22.1
115,2009,ago,a coruña,15,19.7,16.5,22.8
116,2009,sep,a coruña,15,19.3,15.4,23.2
117,2009,oct,a coruña,15,18.4,14.9,21.9
118,2009,nov,a coruña,15,14.5,11.9,17.1
119,2009,dic,a coruña,15,10.9,8.2,13.5
120,2010,ene,a coruña,15,10.1,7.6,12.5
121,2010,feb,a coruña,15,10.2,7.2,13.3
122,2010,mar,a coruña,15,12,8.4,15.6
123,2010,abr,a coruña,15,14.7,10.9,18.4
124,2010,may,a coruña,15,15.6,12.3,18.9
125,2010,jun,a coruña,15,17.6,14.6,20.6
126,2010,jul,a coruña,15,19.5,16.3,22.6
127,2010,ago,a coruña,15,20.2,16.7,23.8
128,2010,sep,a coruña,15,18.8,15.1,22.5
129,2010,oct,a coruña,15,16.2,12.7,19.7
130,2010,nov,a coruña,15,12.5,9.9,15.1
131,2010,dic,a coruña,15,10.9,8,13.7
132,2011,ene,a coruña,15,11.3,8.8,13.8
133,2011,feb,a coruña,15,11.6,8.6,14.6
134,2011,mar,a coruña,15,12.6,9.1,16
135,2011,abr,a coruña,15,16.5,12.5,20.4
136,2011,may,a coruña,15,16.5,12.9,20.1
137,2011,jun,a coruña,15,17.9,14.2,21.4
138,2011,jul,a coruña,15,18.6,15.4,21.8
139,2011,ago,a coruña,15,19.2,15.8,22.6
140,2011,sep,a coruña,15,19.6,16.3,23
141,2011,oct,a coruña,15,17.3,13.5,21
142,2011,nov,a coruña,15,13.7,10.6,16.8
143,2011,dic,a coruña,15,11.7,9.2,14.3
144,2012,ene,a coruña,15,10.6,7.6,13.6
145,2012,feb,a coruña,15,9.5,6.1,12.9
146,2012,mar,a coruña,15,13.4,9.1,17.7
147,2012,abr,a coruña,15,11.6,9,14.3
148,2012,may,a coruña,15,16.3,12.7,20
149,2012,jun,a coruña,15,17.9,14.5,21.3
150,2012,jul,a coruña,15,18.8,15.7,21.9
151,2012,ago,a coruña,15,20.3,16.8,23.9
152,2012,sep,a coruña,15,19.4,15.4,23.3
153,2012,oct,a coruña,15,16.5,13.1,19.8
154,2012,nov,a coruña,15,12.4,9.5,15.4
155,2012,dic,a coruña,15,12.4,10.1,14.7
156,2013,ene,a coruña,15,11.4,8.6,14.2
157,2013,feb,a coruña,15,10.7,8.1,13.3
158,2013,mar,a coruña,15,11.9,9.1,14.8
159,2013,abr,a coruña,15,13,9.8,16.1
160,2013,may,a coruña,15,13.2,10.2,16.2
161,2013,jun,a coruña,15,16.4,13.3,19.5
162,2013,jul,a coruña,15,20.4,16.6,24.1
163,2013,ago,a coruña,15,20.3,16.7,23.9
164,2013,sep,a coruña,15,19.6,16,23.3
165,2013,oct,a coruña,15,17.7,14.4,20.9
166,2013,nov,a coruña,15,13.3,11,15.5
167,2013,dic,a coruña,15,11.4,8.1,14.7
168,2014,ene,a coruña,15,11.3,9.2,13.5
169,2014,feb,a coruña,15,10.9,7.9,13.8
170,2014,mar,a coruña,15,12.4,9.2,15.6
171,2014,abr,a coruña,15,14.9,11.7,18.1
172,2014,may,a coruña,15,15.1,11.7,18.4
173,2014,jun,a coruña,15,18.3,14.8,21.7
174,2014,jul,a coruña,15,19.3,16.4,22.2
175,2014,ago,a coruña,15,19.8,16.3,23.4
176,2014,sep,a coruña,15,20.7,17.1,24.4
177,2014,oct,a coruña,15,18.8,15.4,22.3
178,2014,nov,a coruña,15,13.5,10.9,16.1
179,2014,dic,a coruña,15,11.3,9.1,13.5
180,2015,ene,a coruña,15,10.7,8.2,13.1
181,2015,feb,a coruña,15,10,7.5,12.5
182,2015,mar,a coruña,15,11.7,8.9,14.4
183,2015,abr,a coruña,15,14.8,11.2,18.4
184,2015,may,a coruña,15,15.8,12.9,18.7
185,2015,jun,a coruña,15,17.9,14.5,21.3
186,2015,jul,a coruña,15,19.9,16.7,23.2
187,2015,ago,a coruña,15,19.2,16.3,22.1
188,2015,sep,a coruña,15,17.5,14.1,21
189,2015,oct,a coruña,15,16.4,13.3,19.5
190,2015,nov,a coruña,15,15.4,12.8,18
191,2015,dic,a coruña,15,14.1,11.4,16.9
192,2000,ene,araba/álava,1,3.1,-1.4,7.5
193,2000,feb,araba/álava,1,7.7,1.9,13.4
194,2000,mar,araba/álava,1,8,1.8,14.1
195,2000,abr,araba/álava,1,10,5.2,14.8
196,2000,may,araba/álava,1,14.4,7.5,21.3
197,2000,jun,araba/álava,1,17,9.6,24.4
198,2000,jul,araba/álava,1,18.3,10.7,25.8
199,2000,ago,araba/álava,1,18.9,11.7,26.2
200,2000,sep,araba/álava,1,17,9.4,24.6
201,2000,oct,araba/álava,1,12,6.7,17.3
202,2000,nov,araba/álava,1,8,3.7,12.2
203,2000,dic,araba/álava,1,8.4,5,11.8
204,2001,ene,araba/álava,1,7.1,3.9,10.2
205,2001,feb,araba/álava,1,6.3,1.9,10.7
206,2001,mar,araba/álava,1,11.6,6.9,16.4
207,2001,abr,araba/álava,1,9.4,3.8,14.9
208,2001,may,araba/álava,1,13.4,6.8,20
209,2001,jun,araba/álava,1,16.8,9,24.7
210,2001,jul,araba/álava,1,18.2,12,24.4
211,2001,ago,araba/álava,1,20.6,13.5,27.6
212,2001,sep,araba/álava,1,14.5,8.1,21
213,2001,oct,araba/álava,1,15,8.9,21.2
214,2001,nov,araba/álava,1,6.1,2.1,10.1
215,2001,dic,araba/álava,1,2.1,-3.2,7.4
216,2002,ene,araba/álava,1,6.4,1.9,10.8
217,2002,feb,araba/álava,1,7.7,3.2,12.2
218,2002,mar,araba/álava,1,9.3,3.4,15.2
219,2002,abr,araba/álava,1,9.6,3.1,16.2
220,2002,may,araba/álava,1,12.3,6.2,18.4
221,2002,jun,araba/álava,1,16.8,10.5,23.2
222,2002,jul,araba/álava,1,17.2,10.2,24.2
223,2002,ago,araba/álava,1,17.7,12.2,23.1
224,2002,sep,araba/álava,1,15.8,8.6,23
225,2002,oct,araba/álava,1,13.4,8.1,18.7
226,2002,nov,araba/álava,1,9.6,5.6,13.6
227,2002,dic,araba/álava,1,8.2,5.2,11.2
228,2003,ene,araba/álava,1,5.1,1.9,8.3
229,2003,feb,araba/álava,1,4.9,1.3,8.5
230,2003,mar,araba/álava,1,10.5,4,16.9
231,2003,abr,araba/álava,1,11,5,17
232,2003,may,araba/álava,1,13.4,6.2,20.6
233,2003,jun,araba/álava,1,20.5,13.6,27.5
234,2003,jul,araba/álava,1,20,13.3,26.7
235,2003,ago,araba/álava,1,23.2,15.5,30.9
236,2003,sep,araba/álava,1,17.3,11.3,23.3
237,2003,oct,araba/álava,1,11.9,7.6,16.3
238,2003,nov,araba/álava,1,9,4.1,13.9
239,2003,dic,araba/álava,1,6.2,2.6,9.7
240,2004,ene,araba/álava,1,6.7,3.2,10.2
241,2004,feb,araba/álava,1,4.7,-0.1,9.5
242,2004,mar,araba/álava,1,5.8,0.6,11
243,2004,abr,araba/álava,1,8.8,3.8,13.8
244,2004,may,araba/álava,1,12.8,6.9,18.7
245,2004,jun,araba/álava,1,18.7,11.8,25.7
246,2004,jul,araba/álava,1,18.8,12,25.6
247,2004,ago,araba/álava,1,19.9,13.2,26.6
248,2004,sep,araba/álava,1,17.4,11.5,23.2
249,2004,oct,araba/álava,1,14.4,9.4,19.4
250,2004,nov,araba/álava,1,7,3.7,10.2
251,2004,dic,araba/álava,1,5.7,2.9,8.4
252,2005,ene,araba/álava,1,3.9,0.4,7.4
253,2005,feb,araba/álava,1,2.4,-1.6,6.3
254,2005,mar,araba/álava,1,7.6,0.7,14.5
255,2005,abr,araba/álava,1,10.6,5,16.2
256,2005,may,araba/álava,1,14.8,8.3,21.3
257,2005,jun,araba/álava,1,18.9,11,26.8
258,2005,jul,araba/álava,1,19.2,11.5,26.9
259,2005,ago,araba/álava,1,18.2,11.1,25.2
260,2005,sep,araba/álava,1,16.3,9.3,23.3
261,2005,oct,araba/álava,1,14.1,8.3,19.8
262,2005,nov,araba/álava,1,7.1,3.1,11
263,2005,dic,araba/álava,1,3.1,-0.3,6.5
264,2006,ene,araba/álava,1,3.8,0.6,7.1
265,2006,feb,araba/álava,1,4.1,-0.7,8.9
266,2006,mar,araba/álava,1,9.9,4.8,15
267,2006,abr,araba/álava,1,10.7,4.7,16.7
268,2006,may,araba/álava,1,14.8,8,21.7
269,2006,jun,araba/álava,1,18.6,11.8,25.4
270,2006,jul,araba/álava,1,22,15.5,28.5
271,2006,ago,araba/álava,1,17.3,11,23.6
272,2006,sep,araba/álava,1,18.4,11.4,25.3
273,2006,oct,araba/álava,1,15.8,10.3,21.2
274,2006,nov,araba/álava,1,10.8,6.4,15.2
275,2006,dic,araba/álava,1,4.3,-0.1,8.8
276,2007,ene,araba/álava,1,4.9,0.3,9.4
277,2007,feb,araba/álava,1,8,3.4,12.7
278,2007,mar,araba/álava,1,6.8,1.8,11.9
279,2007,abr,araba/álava,1,11.8,5.7,17.8
280,2007,may,araba/álava,1,13.5,7.9,19.1
281,2007,jun,araba/álava,1,16.9,10.4,23.3
282,2007,jul,araba/álava,1,18.5,11.2,25.7
283,2007,ago,araba/álava,1,17.9,11.2,24.7
284,2007,sep,araba/álava,1,15.6,9.6,21.7
285,2007,oct,araba/álava,1,12,7,17
286,2007,nov,araba/álava,1,6.7,2.1,11.2
287,2007,dic,araba/álava,1,4.2,-0.2,8.5
288,2008,ene,araba/álava,1,6.3,1.5,11.1
289,2008,feb,araba/álava,1,7.7,2.3,13.1
290,2008,mar,araba/álava,1,7.4,2.4,12.5
291,2008,abr,araba/álava,1,10.1,4,16.3
292,2008,may,araba/álava,1,13.4,7.5,19.3
293,2008,jun,araba/álava,1,16.3,10.8,21.7
294,2008,jul,araba/álava,1,18.2,11.2,25.2
295,2008,ago,araba/álava,1,18.9,12,25.7
296,2008,sep,araba/álava,1,15.7,8.9,22.4
297,2008,oct,araba/álava,1,11.5,5.6,17.3
298,2008,nov,araba/álava,1,7.3,4.3,10.1
299,2008,dic,araba/álava,1,4.6,1.6,7.6
300,2009,ene,araba/álava,1,4.7,0.8,8.5
301,2009,feb,araba/álava,1,5.4,0.8,10
302,2009,mar,araba/álava,1,7.6,1.2,14.1
303,2009,abr,araba/álava,1,9.6,4.2,15
304,2009,may,araba/álava,1,14.8,8.5,21.1
305,2009,jun,araba/álava,1,18.1,11.1,25.1
306,2009,jul,araba/álava,1,20,12.6,27.4
307,2009,ago,araba/álava,1,20.3,13.2,27.4
308,2009,sep,araba/álava,1,17.1,11,23.1
309,2009,oct,araba/álava,1,13.7,8,19.4
310,2009,nov,araba/álava,1,10,6,14.1
311,2009,dic,araba/álava,1,5.2,1.6,8.8
312,2010,ene,araba/álava,1,3.5,0.3,6.7
313,2010,feb,araba/álava,1,4.8,1.2,8.3
314,2010,mar,araba/álava,1,7.5,2.7,12.3
315,2010,abr,araba/álava,1,11.5,4.8,18.2
316,2010,may,araba/álava,1,11.7,5.8,17.6
317,2010,jun,araba/álava,1,15.6,9.6,21.7
318,2010,jul,araba/álava,1,19.5,12.3,26.7
319,2010,ago,araba/álava,1,19,11.4,26.6
320,2010,sep,araba/álava,1,16,8.3,23.8
321,2010,oct,araba/álava,1,12,6,18
322,2010,nov,araba/álava,1,7.6,3.8,11.4
323,2010,dic,araba/álava,1,3.6,-0.6,7.9
324,2011,ene,araba/álava,1,5.3,1.4,9.2
325,2011,feb,araba/álava,1,6.5,1,12
326,2011,mar,araba/álava,1,8.5,3.7,13.3
327,2011,abr,araba/álava,1,12.9,6.2,19.6
328,2011,may,araba/álava,1,15,8.2,21.8
329,2011,jun,araba/álava,1,16.4,9.9,22.9
330,2011,jul,araba/álava,1,17.3,10.7,23.9
331,2011,ago,araba/álava,1,20.4,12.6,28.2
332,2011,sep,araba/álava,1,18.4,10.5,26.2
333,2011,oct,araba/álava,1,13.2,5.4,21.1
334,2011,nov,araba/álava,1,10.7,6.3,15
335,2011,dic,araba/álava,1,6.3,2.6,10.1
336,2012,ene,araba/álava,1,5.1,1.1,9
337,2012,feb,araba/álava,1,3,-1.6,7.5
338,2012,mar,araba/álava,1,8.7,0.9,16.4
339,2012,abr,araba/álava,1,8.8,4.2,13.3
340,2012,may,araba/álava,1,14.2,7.3,21.2
341,2012,jun,araba/álava,1,18,10.2,25.8
342,2012,jul,araba/álava,1,18,9.8,26.1
343,2012,ago,araba/álava,1,21,12.5,29.5
344,2012,sep,araba/álava,1,17.1,9.9,24.3
345,2012,oct,araba/álava,1,13.2,7,19.4
346,2012,nov,araba/álava,1,8,3.3,12.6
347,2012,dic,araba/álava,1,6.5,2.4,10.7
348,2013,ene,araba/álava,1,5.7,1.5,10
349,2013,feb,araba/álava,1,4.8,1.3,8.3
350,2013,mar,araba/álava,1,8.5,4.1,12.9
351,2013,abr,araba/álava,1,9.9,4.4,15.5
352,2013,may,araba/álava,1,10.5,5.6,15.4
353,2013,jun,araba/álava,1,14.8,9.1,20.6
354,2013,jul,araba/álava,1,21.6,13.9,29.2
355,2013,ago,araba/álava,1,19.2,12.7,25.8
356,2013,sep,araba/álava,1,17.4,10.6,24.3
357,2013,oct,araba/álava,1,14.6,8.9,20.3
358,2013,nov,araba/álava,1,7.9,4.8,11
359,2013,dic,araba/álava,1,5.1,0.9,9.4
360,2014,ene,araba/álava,1,7.3,4,10.6
361,2014,feb,araba/álava,1,6.5,1.6,11.3
362,2014,mar,araba/álava,1,8.4,2.2,14.6
363,2014,abr,araba/álava,1,12.5,6,19
364,2014,may,araba/álava,1,12.3,6.2,18.4
365,2014,jun,araba/álava,1,17.6,10.3,24.9
366,2014,jul,araba/álava,1,18.8,12.2,25.4
367,2014,ago,araba/álava,1,18.6,11.8,25.5
368,2014,sep,araba/álava,1,18.9,11.6,26.2
369,2014,oct,araba/álava,1,15.8,9.2,22.4
370,2014,nov,araba/álava,1,10.4,6.8,14
371,2014,dic,araba/álava,1,6.1,3.2,9.1
372,2015,ene,araba/álava,1,4.4,-0.2,9
373,2015,feb,araba/álava,1,3.5,0.2,6.7
374,2015,mar,araba/álava,1,8.3,3.2,13.3
375,2015,abr,araba/álava,1,11.8,5.5,18.1
376,2015,may,araba/álava,1,14.5,8.4,20.5
377,2015,jun,araba/álava,1,18.4,11.5,25.4
378,2015,jul,araba/álava,1,21.3,14.1,28.5
379,2015,ago,araba/álava,1,20.5,12.6,28.3
380,2015,sep,araba/álava,1,15.3,9.4,21.1
381,2015,oct,araba/álava,1,13,8,18.1
382,2015,nov,araba/álava,1,9.8,5,14.6
383,2015,dic,araba/álava,1,7.5,2.9,12.1
384,2000,ene,albacete,2,4,-2.1,10.1
385,2000,feb,albacete,2,10.2,2.1,18.3
386,2000,mar,albacete,2,11.2,4.1,18.3
387,2000,abr,albacete,2,11.2,6,16.5
388,2000,may,albacete,2,18.2,11.5,24.8
389,2000,jun,albacete,2,22.7,14.5,30.9
390,2000,jul,albacete,2,25.2,16.9,33.5
391,2000,ago,albacete,2,25.7,17.9,33.6
392,2000,sep,albacete,2,21.8,14,29.5
393,2000,oct,albacete,2,14.9,8.9,20.8
394,2000,nov,albacete,2,9,3.9,14
395,2000,dic,albacete,2,7.7,2.4,13
396,2001,ene,albacete,2,7.5,3.3,11.8
397,2001,feb,albacete,2,7.8,1.9,13.7
398,2001,mar,albacete,2,13.1,7.4,18.8
399,2001,abr,albacete,2,13.9,6.5,21.3
400,2001,may,albacete,2,16.6,10,23.1
401,2001,jun,albacete,2,24.3,15.6,33
402,2001,jul,albacete,2,25,16.8,33.1
403,2001,ago,albacete,2,26.3,18.3,34.4
404,2001,sep,albacete,2,21.4,15,27.9
405,2001,oct,albacete,2,17.4,11.5,23.3
406,2001,nov,albacete,2,7.6,2.2,12.9
407,2001,dic,albacete,2,4.2,-1.4,9.8
408,2002,ene,albacete,2,7,1.9,12.1
409,2002,feb,albacete,2,9.1,1.5,16.7
410,2002,mar,albacete,2,10.8,4.9,16.6
411,2002,abr,albacete,2,13.2,6.9,19.5
412,2002,may,albacete,2,15.6,9,22.1
413,2002,jun,albacete,2,22.8,14.4,31.2
414,2002,jul,albacete,2,25.2,17.2,33.1
415,2002,ago,albacete,2,24.4,17.1,31.6
416,2002,sep,albacete,2,21,14.7,27.4
417,2002,oct,albacete,2,15.9,9.9,21.8
418,2002,nov,albacete,2,10.6,5.8,15.4
419,2002,dic,albacete,2,8.7,4.5,12.8
420,2003,ene,albacete,2,5.5,0.4,10.7
421,2003,feb,albacete,2,6.1,1,11.3
422,2003,mar,albacete,2,11.1,4.2,18
423,2003,abr,albacete,2,13.2,6.7,19.7
424,2003,may,albacete,2,17.9,10.4,25.5
425,2003,jun,albacete,2,25.6,17.4,33.8
426,2003,jul,albacete,2,27.5,19.1,35.9
427,2003,ago,albacete,2,26.6,18.1,35.1
428,2003,sep,albacete,2,21.5,14.6,28.5
429,2003,oct,albacete,2,15.3,10.5,20.1
430,2003,nov,albacete,2,10.7,6.2,15.3
431,2003,dic,albacete,2,7,1.8,12.2
432,2004,ene,albacete,2,7.9,2.1,13.7
433,2004,feb,albacete,2,8.2,1.9,14.4
434,2004,mar,albacete,2,9.1,4,14.2
435,2004,abr,albacete,2,11.8,5.5,18.1
436,2004,may,albacete,2,14.8,9.1,20.5
437,2004,jun,albacete,2,23.6,15.5,31.7
438,2004,jul,albacete,2,25.5,17.2,33.8
439,2004,ago,albacete,2,25.9,18.2,33.5
440,2004,sep,albacete,2,22.9,15.1,30.6
441,2004,oct,albacete,2,16.8,10.5,23
442,2004,nov,albacete,2,9.3,2.4,16.1
443,2004,dic,albacete,2,6.6,2.4,10.9
444,2005,ene,albacete,2,4.9,-2.9,12.6
445,2005,feb,albacete,2,4.9,-1.1,10.9
446,2005,mar,albacete,2,10.7,4.3,17.1
447,2005,abr,albacete,2,13.8,6.7,20.8
448,2005,may,albacete,2,19.4,11.7,27.2
449,2005,jun,albacete,2,24.5,16.2,32.8
450,2005,jul,albacete,2,26.9,18.7,35.1
451,2005,ago,albacete,2,25.3,16.8,33.9
452,2005,sep,albacete,2,20.3,12.9,27.6
453,2005,oct,albacete,2,16.7,10.8,22.5
454,2005,nov,albacete,2,8.7,3.4,14
455,2005,dic,albacete,2,5.9,0.6,11.2
456,2006,ene,albacete,2,4.6,0.3,8.9
457,2006,feb,albacete,2,6.8,1.1,12.6
458,2006,mar,albacete,2,11.8,5.6,18
459,2006,abr,albacete,2,15.3,8.4,22.3
460,2006,may,albacete,2,19.6,12.7,26.5
461,2006,jun,albacete,2,22.8,15.3,30.2
462,2006,jul,albacete,2,27.7,19.3,36.1
463,2006,ago,albacete,2,25.2,17.2,33.1
464,2006,sep,albacete,2,21.7,14.4,29
465,2006,oct,albacete,2,18.3,12.1,24.5
466,2006,nov,albacete,2,12,7.4,16.6
467,2006,dic,albacete,2,6.7,1.2,12.1
468,2007,ene,albacete,2,6.3,0.6,11.9
469,2007,feb,albacete,2,9.8,5.1,14.4
470,2007,mar,albacete,2,9.8,3.3,16.4
471,2007,abr,albacete,2,12.3,6.8,17.9
472,2007,may,albacete,2,17.4,10.6,24.2
473,2007,jun,albacete,2,22.5,15.3,29.7
474,2007,jul,albacete,2,26.2,17.8,34.7
475,2007,ago,albacete,2,25.4,17.7,33.1
476,2007,sep,albacete,2,21.5,14.4,28.6
477,2007,oct,albacete,2,15.5,9.8,21.2
478,2007,nov,albacete,2,9.2,1.4,16.9
479,2007,dic,albacete,2,6.8,1.3,12.3
480,2008,ene,albacete,2,8.1,2.1,14.2
481,2008,feb,albacete,2,9.2,4,14.4
482,2008,mar,albacete,2,11.1,4.5,17.7
483,2008,abr,albacete,2,14.3,7.8,20.7
484,2008,may,albacete,2,16.3,10.7,21.9
485,2008,jun,albacete,2,21.4,14.3,28.5
486,2008,jul,albacete,2,26,18,34
487,2008,ago,albacete,2,26.5,18.7,34.2
488,2008,sep,albacete,2,20.7,14.3,27.2
